VSM?,VSM Sample Name,Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Length (cm),Volume (cm3),Sample type,Test,Request Code,Request number,Sample name,Text ID,Date sample logged,Sample entered by,Location,Comments,Label identifier
x,U1449A001H2026,354,U1449,A,1,H,2,W,26,28,1.76,1.78,1.74,1.76,2,7,CUBE,PMAG,,,PMAG,CUBE6414691,2/7/2015 22:38,NOVAK,JR,,354-U1449A-1H-2-W 26/28-PMAG
x,U1449A001H4080,354,U1449,A,1,H,4,W,80,82,5.35,5.37,5.29,5.31,2,7,CUBE,PMAG,,,PMAG,CUBE6414711,2/7/2015 22:38,NOVAK,JR,,354-U1449A-1H-4-W 80/82-PMAG
x,U1449A001H5044,354,U1449,A,1,H,5,W,44,46,6,6.02,5.933,5.953,2,7,CUBE,PMAG,,,PMAG,CUBE6414721,2/7/2015 22:38,NOVAK,JR,,354-U1449A-1H-5-W 44/46-PMAG
x,U1449A002H1033,354,U1449,A,2,H,1,W,33,35,6.53,6.55,6.528,6.548,2,7,CUBE,PMAG,,,PMAG,CUBE6415791,2/10/2015 0:00,KASTOR,JR,,354-U1449A-2H-1-W 33/35-PMAG
x,U1449A005H1012,354,U1449,A,5,H,1,W,12,14,17.12,17.14,17.12,17.14,2,7,CUBE,PMAG,,,PMAG,CUBE6416201,2/8/2015 6:07,KASTOR,JR,,354-U1449A-5H-1-W 12/14-PMAG
x,U1449A006F1097,354,U1449,A,6,F,1,W,97,99,20.97,20.99,20.904,20.922,2,7,CUBE,PMAG,,,PMAG,CUBE6416691,2/8/2015 8:02,KASTOR,JR,,354-U1449A-6F-1-W 97/99-PMAG
x,U1449A006F3065,354,U1449,A,6,F,3,W,65,67,23.65,23.67,23.401,23.419,2,7,CUBE,PMAG,,,PMAG,CUBE6416701,2/8/2015 8:02,KASTOR,JR,,354-U1449A-6F-3-W 65/67-PMAG
x,U1449A007H2009,354,U1449,A,7,H,2,W,9,11,26.09,26.11,26.09,26.11,2,7,CUBE,PMAG,,,PMAG,CUBE6417041,2/8/2015 10:21,KASTOR,JR,,354-U1449A-7H-2-W 9/11-PMAG
x,U1449A007H4038,354,U1449,A,7,H,4,W,38,40,28.85,28.87,28.85,28.87,2,7,CUBE,PMAG,,,PMAG,CUBE6417051,2/8/2015 10:30,KASTOR,JR,,354-U1449A-7H-4-W 38/40-PMAG
x,U1449A008H1030,354,U1449,A,8,H,1,,30,32,34.3,34.32,34.3,34.32,2,7,CUBE,PMAG,,,PMAG,CUBE6417621,2/8/2015 13:44,JRS_CRUZ,JR,,354-U1449A-8H-1-PMAG
x,U1449A014F2049,354,U1449,A,14,F,2,W,49,51,73.39,73.41,73.39,73.41,2,7,CUBE,PMAG,,,PMAG,CUBE6419161,2/8/2015 19:31,JRS_YOSHIDA,JR,,354-U1449A-14F-2-W 49/51-PMAG
x,U1449A015F2028,354,U1449,A,15,F,2,W,28,30,76.18,76.2,76.18,76.2,2,7,CUBE,PMAG,,,PMAG,CUBE6419921,2/8/2015 20:31,JRS_WILLIAMS,JR,,354-U1449A-15F-2-W 28/30-PMAG
x,U1449A017F1036,354,U1449,A,17,F,1,W,36,38,83.66,83.68,83.634,83.652,2,7,CUBE,PMAG,,,PMAG,CUBE6429481,2/10/2015 8:33,KASTOR,JR,,354-U1449A-17F-1-W 36/38-PMAG
x,U1449A017F2019,354,U1449,A,17,F,2,W,19,21,84.99,85.01,84.866,84.885,2,7,CUBE,PMAG,,,PMAG,CUBE6421041,2/11/2015 5:57,KASTOR,JR,,354-U1449A-17F-2-W 19/21-PMAG
,U1449A018H1095,354,U1449,A,18,H,1,W,95,97,88.95,88.97,88.95,88.97,2,7,CUBE,PMAG,,,PMAG,CUBE6421701,2/9/2015 2:01,JRS_WILLIAMS,JR,,354-U1449A-18H-1-W 95/97-PMAG
,U1449A018H2100,354,U1449,A,18,H,2,W,100,102,90.5,90.52,90.5,90.52,2,7,CUBE,PMAG,MEYN,18462IODP,PMAG,CUBE6421711,2/11/2015 5:58,KASTOR,JR,,354-U1449A-18H-2-W 100/102-PMAG
,U1449A018H4075,354,U1449,A,18,H,4,W,75,77,93.25,93.27,93.25,93.27,2,7,CUBE,PMAG,,,PMAG,CUBE6421721,2/9/2015 2:01,JRS_WILLIAMS,JR,,354-U1449A-18H-4-W 75/77-PMAG
x,U1449A018H6087,354,U1449,A,18,H,6,,87,89,96.37,96.39,96.37,96.39,2,7,CUBE,PMAG,,,PMAG,CUBE6421731,2/9/2015 2:01,JRS_WILLIAMS,JR,,354-U1449A-18H-6-PMAG
,U1449A019H1081,354,U1449,A,19,H,1,W,81,83,98.31,98.33,98.305,98.325,2,7,CUBE,PMAG,,,PMAG,CUBE6422321,2/9/2015 3:43,JRS_WILLIAMS,JR,,354-U1449A-19H-1-W 81/83-PMAG
x,U1449A019H1103,354,U1449,A,19,H,1,W,103,105,98.53,98.55,98.523,98.543,2,7,CUBE,PMAG,,,PMAG,CUBE6422331,2/9/2015 3:43,JRS_WILLIAMS,JR,,354-U1449A-19H-1-W 103/105-PMAG
,U1449A019H3055,354,U1449,A,19,H,3,W,55,57,101.05,101.07,101.026,101.046,2,7,CUBE,PMAG,,,PMAG,CUBE6422351,2/9/2015 3:43,JRS_WILLIAMS,JR,,354-U1449A-19H-3-W 55/57-PMAG
,U1449A019H3055,354,U1449,A,19,H,3,W,55,57,101.05,101.07,101.026,101.046,2,7,CUBE,PMAG,,,PMAG,CUBE6422591,2/9/2015 4:00,JRS_WILLIAMS,JR,,354-U1449A-19H-3-W 55/57-PMAG
,U1449A020H1034,354,U1449,A,20,H,1,W,34,36,105.44,105.46,105.439,105.459,2,7,CUBE,PMAG,,,PMAG,CUBE6423231,2/9/2015 5:25,JRS_WILLIAMS,JR,,354-U1449A-20H-1-W 34/36-PMAG
x,U1449A020H1084,354,U1449,A,20,H,1,W,84,86,105.94,105.96,105.937,105.956,2,7,CUBE,PMAG,,,PMAG,CUBE6423271,2/9/2015 5:43,JRS_WILLIAMS,JR,,354-U1449A-20H-1-W 84/86-PMAG
,U1449A020H3027,354,U1449,A,20,H,3,W,27,29,107.87,107.89,107.859,107.879,2,7,CUBE,PMAG,,,PMAG,CUBE6423251,2/9/2015 5:31,JRS_WILLIAMS,JR,,354-U1449A-20H-3-W 27/29-PMAG
,U1449A020H4121,354,U1449,A,20,H,4,W,121,123,109.64,109.66,109.621,109.641,2,7,CUBE,PMAG,,,PMAG,CUBE6423281,2/9/2015 5:46,JRS_WILLIAMS,JR,,354-U1449A-20H-4-W 121/123-PMAG
,U1449A021H1080,354,U1449,A,21,H,1,W,80,82,110.8,110.82,110.795,110.815,2,7,CUBE,PMAG,,,PMAG,CUBE6424171,2/9/2015 8:02,JRS_WILLIAMS,JR,,354-U1449A-21H-1-W 80/82-PMAG
,U1449A022F2018,354,U1449,A,22,F,2,W,18,20,115.08,115.1,114.96,114.979,2,7,CUBE,PMAG,,,PMAG,CUBE6424781,2/9/2015 10:24,JRS_WILLIAMS,JR,,354-U1449A-22F-2-W 18/20-PMAG
,U1449A022F3084,354,U1449,A,22,F,3,W,83.5,85.5,117.235,117.255,116.963,116.981,2,7,CUBE,PMAG,,,PMAG,CUBE6424791,2/9/2015 10:24,JRS_WILLIAMS,JR,,354-U1449A-22F-3-W 84/86-PMAG
,U1449A023F1144,354,U1449,A,23,F,1,W,144,146,119.54,119.56,119.43,119.448,2,7,CUBE,PMAG,,,PMAG,CUBE6424981,2/9/2015 11:46,JRS_CRUZ,JR,,354-U1449A-23F-1-W 144/146-PMAG
,U1449A023F2012,354,U1449,A,23,F,2,W,12,14,119.72,119.74,119.596,119.614,2,7,CUBE,PMAG,,,PMAG,CUBE6424931,2/9/2015 11:28,JRS_CRUZ,JR,,354-U1449A-23F-2-W 12/14-PMAG
,U1449A024F1074,354,U1449,A,24,F,1,W,74,76,123.54,123.56,123.477,123.495,2,7,CUBE,PMAG,,,PMAG,CUBE6425191,2/9/2015 12:53,JRS_CRUZ,JR,,354-U1449A-24F-1-W 74/76-PMAG
,U1449A024F2044,354,U1449,A,24,F,2,W,44,46,124.74,124.76,124.574,124.593,2,7,CUBE,PMAG,,,PMAG,CUBE6425201,2/9/2015 12:53,JRS_CRUZ,JR,,354-U1449A-24F-2-W 44/46-PMAG
,U1449A025F1078,354,U1449,A,25,F,1,W,78,80,128.28,128.3,128.227,128.246,2,7,CUBE,PMAG,,,PMAG,CUBE6425431,2/9/2015 14:29,JRS_CRUZ,JR,,354-U1449A-25F-1-W 78/80-PMAG
,U1449A025F2035,354,U1449,A,25,F,2,W,35,37,129.35,129.37,129.225,129.244,2,7,CUBE,PMAG,,,PMAG,CUBE6425441,2/9/2015 14:24,JRS_CRUZ,JR,,354-U1449A-25F-2-W 35/37-PMAG
,U1449A026F2069,354,U1449,A,26,F,2,W,69,71,134.39,134.41,134.25,134.269,2,7,CUBE,PMAG,,,PMAG,CUBE6425731,2/9/2015 15:37,JRS_CRUZ,JR,,354-U1449A-26F-2-W 69/71-PMAG
,U1449A026F3035,354,U1449,A,26,F,3,W,35,37,135.43,135.45,135.225,135.243,2,7,CUBE,PMAG,,,PMAG,CUBE6425741,2/9/2015 15:37,JRS_CRUZ,JR,,354-U1449A-26F-3-W 35/37-PMAG
,U1449A027F1044,354,U1449,A,27,F,1,W,44,45,137.34,137.35,137.326,137.336,1,7,CUBE,PMAG,,,PMAG,CUBE6425971,2/9/2015 16:36,JRS_CRUZ,JR,,354-U1449A-27F-1-W 44/45-PMAG
,U1449A028F2012,354,U1449,A,28,F,2,W,12,14,143.22,143.24,143.157,143.177,2,7,CUBE,PMAG,,,PMAG,CUBE6426361,2/9/2015 18:04,JRS_CRUZ,JR,,354-U1449A-28F-2-W 12/14-PMAG
,U1449A028F3057,354,U1449,A,28,F,3,W,57,59,145.17,145.19,145.031,145.05,2,7,CUBE,PMAG,,,PMAG,CUBE6426371,2/9/2015 18:04,JRS_CRUZ,JR,,354-U1449A-28F-3-W 57/59-PMAG
,U1449A028F4004,354,U1449,A,28,F,4,W,4,6,145.74,145.76,145.579,145.599,2,7,CUBE,PMAG,,,PMAG,CUBE6426381,2/9/2015 18:04,JRS_CRUZ,JR,,354-U1449A-28F-4-W 4/6-PMAG
