,id,Mrs,Ms,Hc,Xhf,Q,Qeff,Hcr,site,hole,core,section,interval,top [cm],bottom [cm],lithology principal name,top depth csf-a (m)
0,U1449A001H4080,1.1105010248890669e-05,6.273395021902454e-05,0.011593635061097118,0.00050243661799202,6.19958180591903,4.562799647225606,0.027358775276591026,U1449,A,1,4,8,0,14,calcareous clay,5.35
1,U1449A001H4080,1.1157617550141156e-05,6.532190002485442e-05,0.011407885791188788,0.0005179996731882063,6.59297323601786,4.833306831187932,0.027358775276591026,U1449,A,1,4,8,0,14,calcareous clay,5.35
2,U1449A001H5044,1.1877147714427876e-05,7.244891349230694e-05,0.012052154817649097,0.0005490961565908896,6.260361186844014,4.592256080145478,0.033559969739110136,U1449,A,1,5,4,0,56,calcareous clay,6.0
3,U1449A002H1033,4.712980567660437e-05,0.00017641093261257592,0.01634621341944842,0.0007589787452179913,6.343974536124768,5.187702437485481,0.048853278756404356,U1449,A,2,1,3,0,28,sand,6.53
4,U1449A005H1012,3.8494727518780294e-05,0.00011322116100305403,0.02143137666180195,0.000707828848253689,6.163655454298191,4.6782751459314795,0.0554830541120625,U1449,A,5,1,1,0,10,sand,17.12
5,U1449A005H1012,3.8580302903165305e-05,0.00011321336775513833,0.0214870209972442,0.0007143032438551994,5.2212729068188946,4.296835746008287,0.0554830541120625,U1449,A,5,1,1,0,10,sand,17.12
6,U1449A006F1097,5.3198558822695686e-05,0.00013933266374581855,0.02609785302312817,0.0007521334656931439,6.267029220953551,4.899009811702359,0.06188996301740033,U1449,A,6,1,9,0,70,clay,20.97
7,U1449A006F3065,4.981160915463625e-05,0.00013949994839882937,0.024295790169421072,0.0008430761956942057,6.236599700373252,4.858857708181762,0.05889857472533834,U1449,A,6,3,6,0,21,sand,23.65
8,U1449A007H2009,3.332585009078239e-05,0.00013023034571503,0.017990666844223124,0.0006358373795954889,6.4924544107097955,4.835942797654015,0.05608211215026091,U1449,A,7,2,0,0,50,clay,26.09
9,U1449A007H2057,2.1945860980239027e-06,2.6187172443023953e-05,0.006085662082545573,1.784784023458775e-05,6.074531706525031,5.667561945880156,0.051121326953141755,U1449,A,7,2,5,0,50,clay,
